dataset,d,n_train,test_size,seed,accuracy,brier,balanced,quantum_label
iris_class0_vs_class1,0,1,0.1,0,0.3,0.37867413759231566,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,0,1.0,0.13194158375263215,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,0,1.0,0.1326974406838417,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,0,1.0,0.1363607943058014,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,1,0.6,0.22397042512893678,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,1,1.0,0.13320684432983398,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,1,1.0,0.13158513754606246,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,1,1.0,0.13280411511659623,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,2,0.6,0.21360841691493987,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,2,1.0,0.14907818883657456,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,2,1.0,0.14924067705869676,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,2,1.0,0.13356481045484542,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,3,0.7,0.16358697414398193,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,3,1.0,0.12510787844657897,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,3,1.0,0.1335834503173828,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,3,1.0,0.1294874966144562,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,4,0.8,0.11087768077850342,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,4,1.0,0.14163526892662048,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,4,1.0,0.14015038311481476,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,4,1.0,0.13769353032112122,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,5,0.4,0.3289433985948563,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,5,1.0,0.13108790665864944,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,5,1.0,0.13828152418136597,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,5,1.0,0.14530006498098375,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,6,0.3,0.37721886187791825,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,6,1.0,0.14618099182844163,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,6,1.0,0.14687587767839433,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,6,1.0,0.13844046145677566,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,7,0.3,0.3923236519098282,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,7,1.0,0.1289217159152031,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,7,1.0,0.13382611572742462,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,7,1.0,0.13414835780858994,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,8,0.5,0.29958789348602294,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,8,1.0,0.15125564187765123,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,8,1.0,0.14143410474061965,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,8,1.0,0.13553122133016587,True,ibmq_qasm_simulator
iris_class0_vs_class1,0,1,0.1,9,0.4,0.34771458953619006,False,ibmq_qasm_simulator
iris_class0_vs_class1,1,2,0.1,9,1.0,0.13122642487287522,True,ibmq_qasm_simulator
iris_class0_vs_class1,2,4,0.1,9,1.0,0.13117020428180695,True,ibmq_qasm_simulator
iris_class0_vs_class1,3,8,0.1,9,1.0,0.13496367484331132,True,ibmq_qasm_simulator
