,dataset,d,n_train,test_size,seed,accuracy,brier,balanced,device
66,iris_class0_vs_class1,2,4,0.1,6,1.0,0.14687587767839433,True,ibmq_qasm_simulator
67,iris_class0_vs_class1,3,8,0.1,6,1.0,0.13844046145677566,True,ibmq_qasm_simulator
68,iris_class0_vs_class1,0,1,0.1,7,0.3,0.3923236519098282,False,ibmq_qasm_simulator
69,iris_class0_vs_class1,1,2,0.1,7,1.0,0.1289217159152031,True,ibmq_qasm_simulator
70,iris_class0_vs_class1,2,4,0.1,7,1.0,0.13382611572742462,True,ibmq_qasm_simulator
71,iris_class0_vs_class1,3,8,0.1,7,1.0,0.13414835780858994,True,ibmq_qasm_simulator
72,iris_class0_vs_class1,0,1,0.1,8,0.5,0.29958789348602294,False,ibmq_qasm_simulator
73,iris_class0_vs_class1,1,2,0.1,8,1.0,0.15125564187765123,True,ibmq_qasm_simulator
74,iris_class0_vs_class1,2,4,0.1,8,1.0,0.14143410474061965,True,ibmq_qasm_simulator
75,iris_class0_vs_class1,3,8,0.1,8,1.0,0.13553122133016587,True,ibmq_qasm_simulator
76,iris_class0_vs_class1,0,1,0.1,9,0.4,0.34771458953619006,False,ibmq_qasm_simulator
77,iris_class0_vs_class1,1,2,0.1,9,1.0,0.13122642487287522,True,ibmq_qasm_simulator
78,iris_class0_vs_class1,2,4,0.1,9,1.0,0.13117020428180695,True,ibmq_qasm_simulator
79,iris_class0_vs_class1,3,8,0.1,9,1.0,0.13496367484331132,True,ibmq_qasm_simulator
80,iris_class0_vs_class2,0,1,0.1,0,0.3,0.33584658056497574,False,ibmq_qasm_simulator
81,iris_class0_vs_class2,1,2,0.1,0,1.0,0.13461823612451554,True,ibmq_qasm_simulator
82,iris_class0_vs_class2,2,4,0.1,0,1.0,0.13472247123718262,True,ibmq_qasm_simulator
83,iris_class0_vs_class2,3,8,0.1,0,1.0,0.137486831843853,True,ibmq_qasm_simulator
84,iris_class0_vs_class2,0,1,0.1,1,0.6,0.2110508069396019,False,ibmq_qasm_simulator
85,iris_class0_vs_class2,1,2,0.1,1,1.0,0.1357143446803093,True,ibmq_qasm_simulator
86,iris_class0_vs_class2,2,4,0.1,1,1.0,0.12229704856872559,True,ibmq_qasm_simulator
87,iris_class0_vs_class2,3,8,0.1,1,1.0,0.13109339475631715,True,ibmq_qasm_simulator
88,iris_class0_vs_class2,0,1,0.1,2,0.6,0.2330727219581604,False,ibmq_qasm_simulator
89,iris_class0_vs_class2,1,2,0.1,2,1.0,0.15470517724752425,True,ibmq_qasm_simulator
90,iris_class0_vs_class2,2,4,0.1,2,1.0,0.15716320425271987,True,ibmq_qasm_simulator
91,iris_class0_vs_class2,3,8,0.1,2,1.0,0.14394747763872145,True,ibmq_qasm_simulator
92,iris_class0_vs_class2,0,1,0.1,3,0.7,0.1978619158267975,False,ibmq_qasm_simulator
93,iris_class0_vs_class2,1,2,0.1,3,1.0,0.13868813961744308,True,ibmq_qasm_simulator
94,iris_class0_vs_class2,2,4,0.1,3,1.0,0.13746852427721024,True,ibmq_qasm_simulator
95,iris_class0_vs_class2,3,8,0.1,3,1.0,0.13629203140735627,True,ibmq_qasm_simulator
96,iris_class0_vs_class2,0,1,0.1,4,0.8,0.12371515035629273,False,ibmq_qasm_simulator
97,iris_class0_vs_class2,1,2,0.1,4,1.0,0.14977263361215593,True,ibmq_qasm_simulator
98,iris_class0_vs_class2,2,4,0.1,4,1.0,0.15008604228496553,True,ibmq_qasm_simulator
99,iris_class0_vs_class2,3,8,0.1,4,1.0,0.1282932847738266,True,ibmq_qasm_simulator
100,iris_class0_vs_class2,0,1,0.1,5,0.4,0.3201192542910576,False,ibmq_qasm_simulator
101,iris_class0_vs_class2,1,2,0.1,5,1.0,0.15125237107276918,True,ibmq_qasm_simulator
102,iris_class0_vs_class2,2,4,0.1,5,1.0,0.15355620980262757,True,ibmq_qasm_simulator
103,iris_class0_vs_class2,3,8,0.1,5,1.0,0.15234196335077285,True,ibmq_qasm_simulator
104,iris_class0_vs_class2,0,1,0.1,6,0.3,0.32703669667243956,False,ibmq_qasm_simulator
105,iris_class0_vs_class2,1,2,0.1,6,1.0,0.14238088876008986,True,ibmq_qasm_simulator
106,iris_class0_vs_class2,2,4,0.1,6,1.0,0.14126072376966475,True,ibmq_qasm_simulator
107,iris_class0_vs_class2,3,8,0.1,6,1.0,0.13427295237779618,True,ibmq_qasm_simulator
108,iris_class0_vs_class2,0,1,0.1,7,0.3,0.4144739255309105,False,ibmq_qasm_simulator
109,iris_class0_vs_class2,1,2,0.1,7,1.0,0.13212736696004868,True,ibmq_qasm_simulator
110,iris_class0_vs_class2,2,4,0.1,7,1.0,0.14305373430252075,True,ibmq_qasm_simulator
111,iris_class0_vs_class2,3,8,0.1,7,1.0,0.15031473338603973,True,ibmq_qasm_simulator
112,iris_class0_vs_class2,0,1,0.1,8,0.5,0.29506688714027407,False,ibmq_qasm_simulator
113,iris_class0_vs_class2,1,2,0.1,8,1.0,0.12017910182476044,True,ibmq_qasm_simulator
